City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
642,Sao Gabriel Da Cachoeira,BR,89.47,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
643,Carupano,VE,81.43,overcast clouds,10.6678,-63.2585,Hotel La dorada
644,Muttupet,IN,81.36,few clouds,10.4,79.4833,Hotel Star Residency
651,Ponta Delgada,PT,78.49,few clouds,37.7333,-25.6667,Vila Nova Hotel
654,Damietta,EG,75.92,clear sky,31.4165,31.8133,SULIMAN INN
657,Katherine,AU,79.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
658,Riohacha,CO,83.79,broken clouds,11.5444,-72.9072,Hotel Taroa
663,Matay,EG,81.03,clear sky,28.419,30.7792,Nag Aespen
667,Aden,YE,89.33,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
672,Balykshi,KZ,75.2,clear sky,47.0667,51.8667,Гостиница Golden Rose
675,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
676,Guantanamo,CU,89.17,overcast clouds,20.1444,-75.2092,Hotel Guantánamo
678,Buala,SB,77.77,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
679,Harper,LR,76.37,broken clouds,4.375,-7.7169,Screensaver
681,Galle,LK,78.31,few clouds,6.0367,80.217,Amangalla
