City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Bahia Blanca,AR,-38.7196,-62.2724,54.3,51,67,15.88,broken clouds
285,Neustadt,DE,49.7117,12.0872,44.15,93,0,0.0,clear sky
286,Port Keats,AU,-14.25,129.55,78.6,87,25,3.4,scattered clouds
287,Ciudad Bolivar,VE,8.1222,-63.5497,83.52,69,100,2.62,overcast clouds
288,Chisindia,RO,46.2833,22.1,45.95,92,39,2.51,scattered clouds
289,Carballo,ES,43.213,-8.691,64.09,82,0,3.42,clear sky
290,Chimbote,PE,-9.0853,-78.5783,64.36,76,100,12.33,overcast clouds
291,Wilmington Island,US,32.0036,-80.9737,88.09,60,0,11.5,clear sky
292,Sergeyevka,KZ,53.88,67.4158,62.02,45,2,3.06,clear sky
293,Buraydah,SA,26.326,43.975,84.56,11,9,6.76,clear sky
294,Merauke,ID,-8.4667,140.3333,77.45,88,99,10.09,overcast clouds
295,Plyussa,RU,58.4308,29.3654,44.04,96,44,4.83,scattered clouds
296,Veraval,IN,20.9,70.3667,78.21,79,100,8.43,overcast clouds
297,Vega De Alatorre,MX,20.0333,-96.6333,83.91,67,80,14.03,broken clouds
298,Kyra,RU,49.5776,111.9753,29.21,71,12,9.89,few clouds
299,Sur,OM,22.5667,59.5289,81.9,71,2,11.39,clear sky
300,Kattivakkam,IN,13.2167,80.3167,84.29,68,60,11.41,broken clouds
301,Limbang,MY,4.75,115.0,78.91,96,98,2.39,overcast clouds
302,Salinopolis,BR,-0.6136,-47.3561,80.47,76,10,15.26,clear sky
303,Aktau,KZ,43.65,51.2,64.98,30,1,9.48,clear sky
304,Millau,FR,44.0833,2.9167,60.93,62,0,2.98,clear sky
305,Ozernovskiy,RU,51.5,156.5167,50.09,77,87,18.66,overcast clouds
306,Nkhotakota,MW,-12.9274,34.2961,73.63,63,8,4.74,clear sky
307,Luderitz,NA,-26.6481,15.1594,62.91,40,0,5.19,clear sky
308,Presque Isle,US,46.6811,-68.0159,59.43,82,100,3.44,mist
309,Taldan,RU,53.6667,124.8,35.71,95,49,3.38,scattered clouds
310,Nizwa,OM,22.9333,57.5333,83.05,41,8,2.98,clear sky
311,Khorramshahr,IR,30.4397,48.1664,84.16,65,0,4.61,clear sky
312,Leipzig,DE,51.342,12.375,48.31,87,0,2.3,clear sky
313,San Lawrenz,MT,36.0553,14.204,74.86,72,88,8.32,overcast clouds
314,Husavik,IS,66.0449,-17.3389,46.18,93,99,5.64,overcast clouds
315,Saint-Denis,FR,48.9167,2.3333,59.14,64,0,9.22,clear sky
316,Lanzhou,CN,36.0564,103.7922,63.57,40,76,3.04,broken clouds
317,Kabanjahe,ID,3.1001,98.4908,62.78,98,100,1.07,overcast clouds
318,Sobolevo,RU,54.4299,31.8996,47.03,96,100,9.15,overcast clouds
319,Saint-Pierre,RE,-21.3393,55.4781,69.48,78,0,16.11,clear sky
320,Wanning,CN,18.8003,110.3967,78.15,87,99,3.13,overcast clouds
321,Te Anau,NZ,-45.4167,167.7167,45.82,85,77,0.94,broken clouds
322,Agar,IN,23.7,76.0167,73.49,85,97,11.7,overcast clouds
323,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,91.65,49,64,2.86,broken clouds
324,Castro,BR,-24.7911,-50.0119,58.17,99,100,4.47,overcast clouds
325,Yakeshi,CN,49.2833,120.7333,42.69,60,100,2.64,overcast clouds
326,Talaya,RU,61.3833,152.75,29.53,96,100,1.01,light snow
327,Melita,CA,49.2681,-100.9967,55.85,50,66,15.95,broken clouds
328,Iquitos,PE,-3.7481,-73.2472,91.44,66,40,2.3,scattered clouds
329,Lagoa,PT,39.05,-27.9833,73.78,83,31,10.87,scattered clouds
330,Waipawa,NZ,-41.4122,175.5153,48.81,93,100,9.71,overcast clouds
331,Mafinga,TZ,-7.25,35.0667,72.81,44,74,8.14,broken clouds
332,Tabou,CI,4.423,-7.3528,76.23,88,38,6.78,scattered clouds
333,Poum,NC,-20.2333,164.0167,75.49,74,9,7.52,clear sky
334,Henties Bay,NA,-22.116,14.2845,57.74,78,0,9.57,clear sky
335,Bilma,NE,18.6853,12.9164,91.6,10,24,1.41,few clouds
336,Coquimbo,CL,-29.9533,-71.3436,64.13,48,0,16.11,clear sky
337,Karema,TZ,-6.8205,30.4389,81.09,46,80,3.56,broken clouds
338,Ancud,CL,-41.8697,-73.8203,46.22,77,69,14.9,broken clouds
339,Mountain Home,US,43.133,-115.6912,71.08,33,40,16.11,scattered clouds
340,Pathein,MM,16.7833,94.7333,76.78,92,100,5.82,overcast clouds
341,Paamiut,GL,61.994,-49.6678,42.75,72,96,17.58,overcast clouds
342,Natal,BR,-5.795,-35.2094,80.82,78,20,11.5,few clouds
343,Vardo,NO,70.3705,31.1107,44.58,87,100,16.11,overcast clouds
344,Necochea,AR,-38.5473,-58.7368,52.7,60,67,10.38,broken clouds
345,Puerto Escondido,MX,15.85,-97.0667,83.23,57,100,5.75,overcast clouds
346,Mpika,ZM,-11.8343,31.4529,64.04,46,5,7.96,clear sky
